Theme,Secondary Theme,Sectors,Subsectors,Activity,Activity Examples,Activity Type,Adaptation Likelihood,"Maladaptation or
Significant Harm Risk","Maladaptation or
Significant Harm Criteria",Cities Relevance,Gender Relevance,Mitigation Co-Benefit,Mitigation Co-Benefit Type,Heat Stress,Cold Stress,Water Stress,Storm Conditions,Flooding,Mass Movement,Wildfire Conditions,Marine Conditions,Commercial Banks,Asset Managers,PE & VC,SMEs,Pension Funds,International Insurers,Multinational Corporations,Domestic Corporations,Households & Consumers
Agri-Food Systems,Industry and Commerce,Agricultural Production,Agricultural Production Monitoring & Protection,Decision-Support Tools and Services for Food Systems,"nutrient sensors, soil moisture sensors, farm management software for climate, agro-meteorological advisory services",Intelligence,Medium,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X
Agri-Food Systems,Infrastructure,Agricultural Production,Agricultural Production Monitoring & Protection,Monitoring and Early Warning Systems for Food Systems,"wildfire early warning system for food systems, pest monitoring and early warning for food systems",Intelligence,High,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,X,,X,X,,X,X,X,X
Agri-Food Systems,Social Systems,Agricultural Production,Agricultural Production Monitoring & Protection,Nonstructural Disaster Protection for Food Systems,"climate-responsive equipment leasing for food systems, relocation of agricultural activities in flood-prone areas, climate-responsive lease agreements for farmland",Enabling Activity,Medium ,No,Not Applicable,No,No,No,Not Applicable,X,X,X,X,X,X,X,X,,,,,,X,,,X
Agri-Food Systems,Infrastructure,Agricultural Production,Agricultural Production Monitoring & Protection,Structural Disaster Protection for Food Systems,"hail nets for animal production, windbreakers for crop protection, frost protection fans for crop production",Product or Service,Medium,No,Not Applicable,No,No,No,Not Applicable,X,X,,X,X,X,X,,X,,X,X,,X,X,X,X
Agri-Food Systems,Ecosystems,Agricultural Production,Agroforestry,Agroforestry,"alley cropping, silvopasture, tree Intercropping",Product or Service,Low,No,Not Applicable,No,No,Yes,Carbon Sequestration,X,,X,X,X,X,,,X,,X,X,,X,X,X,X
Agri-Food Systems,Industry and Commerce,Agricultural Production,Animal Production,Animal Production Automation,"automated precision feeding systems, robotic milking systems, automated disease detection for livestock",Product or Service,Low,Yes,4[M]: Inhibiting Necessary Change,No,No,Yes,Avoided Emissions,X,X,,X,X,,X,,X,X,X,X,,,X,X,
Agri-Food Systems,Industry and Commerce,Agricultural Production,Animal Production,Domestic Animal Rearing,"household chickens, household goats",Product or Service,Low,Yes,5[SH]: Inhibiting Climate Change Mitigation,Yes,No,No,Not Applicable,,,,X,,,,,,,,X,,,,,X
Agri-Food Systems,Industry and Commerce,Agricultural Production,Animal Production,Improved Breeds,"heat-tolerant breeds, drought-resistant breeds, flood-resistant breeds, pest-resistant breeds, cold-tolerant breeds",Product or Service,Medium,Yes,5[SH]: Inhibiting Climate Change Mitigation,No,No,Yes,Avoided Emissions,X,X,X,,,,,,X,X,X,X,,,X,,
Agri-Food Systems,Industry and Commerce,Agricultural Production,Animal Production,Improved Proteins,"pea proteins, lab-grown proteins, mycoprotein, spirulina",Product or Service,Medium,No,Not Applicable,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,X,X,X,,,X,X,
Agri-Food Systems,Industry and Commerce,Agricultural Production,Animal Production,Livestock Insurance,"livestock drought insurance, livestock flood insurance, wildfire insurance for cattle ranchers",Enabling Activity,Medium,Yes,4[M]: Inhibiting Necessary Change,No,No,No,Not Applicable,X,X,,,,,,,,,,,,X,,,
Agri-Food Systems,Industry and Commerce,Agricultural Production,Animal Production,Livestock Management,"rangeland management, rotational grazing, livestock diversification",Product or Service,Low,Yes,5[SH]: Inhibiting Climate Change Mitigation,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,,X,X,,,X,X,X
Agri-Food Systems,Ecosystems,Agricultural Production,Animal Production,Sustainable Hunting,"climate-responsive hunting seasons, rotational hunting areas, sustainable predator control",Product or Service,Low,No,Not Applicable,No,No,Yes,Avoided Emissions,,,X,X,X,,X,,,,,X,,,,,X
Agri-Food Systems,Industry and Commerce,Agricultural Production,Crop Production,Alternative Farming,"greenhouses, vertical farming, hydroponics, aquaponics, polyculture",Product or Service,Low,Yes,5[SH]: Inhibiting Climate Change Mitigation,Yes,No,Yes,Avoided Emissions,X,X,X,X,X,X,X,,X,,X,X,,,,,X
Agri-Food Systems,Infrastructure,Agricultural Production,Crop Production,Community Gardens,"community gardens in urban areas, urban rooftop gardens, intergenerational gardening programs",Product or Service,Low,No,Not Applicable,Yes,Yes,No,Not Applicable,,,,X,,,,,,,,X,,,,,X
Agri-Food Systems,Industry and Commerce,Agricultural Production,Crop Production,Crop Insurance,"crop failure insurance, parametric crop insurance, pest and disease insurance for crops",Enabling Activity,Medium,Yes,4[M]: Inhibiting Necessary Change,No,No,No,Not Applicable,X,X,X,X,X,X,X,,,,,,,X,,,
Agri-Food Systems,Industry and Commerce,Agricultural Production,Crop Production,Crop Production Automation,"robotics for crop production, self-driving tractors, smart irrigation drones, automated seeding and fertilizing drones",Product or Service,Low,No,Not Applicable,No,No,Yes,Avoided Emissions,X,X,X,X,,X,,,X,X,X,X,,,X,X,
Agri-Food Systems,Water and Sanitation,Agricultural Production,Crop Production,Efficient Irrigation,"drip irrigation, precision irrigation, high-efficiency pumps",Product or Service,Medium,No,Not Applicable,No,No,Yes,Avoided Emissions,,,X,,,,,,X,X,X,X,,X,X,X,X
Agri-Food Systems,Not Applicable,Agricultural Production,Crop Production,Improved Cultivars,"drought resilient crops, flood resilient crops, pest resistant crops, disease resistant crops, heat resistant crops, cold tolerant crops",Product or Service,High,No,Not Applicable,No,No,Yes,Avoided Emissions,X,X,X,X,X,X,,,X,X,X,X,,X,X,X,X
Agri-Food Systems,Ecosystems,Agricultural Production,Crop Production,Pest Management,"organic pesticides, organic herbicides, integrated weed management",Product or Service,Low,Yes,9[SH]: Inhibiting Protection of Biodiversity and Ecosystems,No,No,No,Not Applicable,X,,,X,X,,,,X,,X,X,,X,X,X,X
