CVC Name,Website,CVC Description,Company,Country,unmatched_flag,canonical_company,match_company,category
3M Ventures,https://www.3m.com/3M/en_US/company-us/about-3m/3m-ventures/,"3M Ventures is the corporate venture arm of 3M Company, using minority investments and partnerships to advance innovations that extend 3M's material science leadership and scale solutions to global challenges.

The unit prioritizes startups in automotive electrification, safety, home improvement, consumer electronics, climate tech, sustainable packaging, industrial automation, and semiconductor and data center technologies, aligning them with strategic growth platforms.

Beyond capital, 3M Ventures incubates businesses and connects founders to 3M technology platforms, global labs, customer networks, and manufacturing assets. Recent collaborations include hydrogen-focused EVOLOH, green hydrogen specialist Ohmium, and carbon capture developer Svante, reflecting its climate tech emphasis.",3M,United States,,,3M,"Industrial Decarbonization, Circular Economy, Mobility & Logistics"
Maersk Growth,https://www.maersk.com,"Maersk Growth is the corporate venture arm of A.P. Moller - Maersk, tasked with digitising, democratising and decarbonising global supply chains and now investing exclusively in energy-transition solutions that point toward net-zero logistics, with a focus on enablement areas such as green fuels, carbon capture and other low-emission technologies for maritime and logistics operations.

The unit complements capital with the ""ABCDE"" platform that opens Maersk assets, brand, customers, data and expertise to founders, and runs a structured venture clienting program that steers startups through proof-of-concept deployments so solutions can be tested and scaled inside the Maersk network.

Illustrative holdings reflecting this thesis include Blue.World for methanol fuel cells, Vertoro for lignin-based drop-in biofuels and WasteFuel for converting waste into green methanol.",A.P. Moller - Maersk,Denmark,,,A.P. Moller - Maersk,
A.P. Moller Capital,http://www.apmoller.com/,"A.P. Moller Capital, established in 2017 as part of the A.P. Moller Group, manages value-add infrastructure funds designed to create opportunities through critical infrastructure investments that support sustainable economic growth while delivering competitive returns.

Its investment programs focus on energy transition and essential infrastructure, backing renewable platforms such as Verdant Energy in Southeast Asia and Lumika Renewables for African commercial customers, as well as logistics and port assets including Vector Logistics and Mass Céréales al Maghreb that expand cold chain, warehousing, and grain terminal capacity in growth markets.

The firm applies active ownership by leveraging the Group’s reputation, relationships, and industrial heritage, combining its logistics expertise with portfolio partners like Vector to drive expansion and working hands-on with the East Africa Infrastructure Platform to advance gas conversion and operational improvements.",A.P. Moller Holding,Denmark,,A.P. Moller - Maersk A/S,A.P. Moller - Maersk A/S,"Energy & Grid, Mobility & Logistics"
ABB Ventures,https://global.abb/group/en/technology/ventures,"ABB Ventures is the corporate venture capital arm of ABB, using the group's business-led investment framework to back startups that advance ABB's vision for industrial electrification and automation while reinforcing its electrification, motion, robotics, and automation businesses.

The unit pursues themes across industrial IoT, AI and machine learning, robotics, energy transition, cybersecurity, sustainability, electric mobility, smart buildings, and distributed energy, with specialized teams such as ABB Electrification Ventures and ABB Motion Ventures extending into digital energy management and circular manufacturing innovations.

ABB Ventures connects portfolio companies with ABB's R&D resources, domain experts, and global customer channels, acting as a bridge into business units; recent investments include Ndustrial's production-aware energy management platform, Edgecom Energy's AI copilot for demand management, and Molg's robotic microfactories for circular electronics manufacturing.",ABB Group,Switzerland,,,ABB Group,"Energy & Grid, Industrial Decarbonization, Mobility & Logistics"
ABN AMRO Ventures,http://www.abnamro.nl,"ABN AMRO Ventures is the corporate venture fund of ABN AMRO Bank N.V., created to bring external technology scale-ups into the bank’s innovation agenda and accelerate a client-focused, data-driven banking strategy.

The fund backs fintech and technology companies that digitise financial products, services, and infrastructure, strengthen data and financial crime analytics, and advance sustainable digital experiences such as e-mobility solutions aligned with ABN AMRO’s sustainability ambitions.

Portfolio companies tap ABN AMRO’s knowledge network, access to its banking platforms, specialist support, and routes to customers and European expansion, alongside capital; representative investments include Quantexa and Laka.",ABN AMRO,Netherlands,,,ABN AMRO,Mobility & Logistics
Accenture Ventures,https://www.accenture.com/in-en/about/ventures-index,"Accenture Ventures is the corporate venture arm of Accenture, created to make targeted equity investments in emerging technology startups whose capabilities match enterprise customer priorities, using programs like Project Spotlight to link founders with Accenture's innovation network and Global 2000 clients.

Its deal flow concentrates on AI-enabled enterprise platforms and data infrastructure, such as YearOne’s software engineering intelligence suite and Voltron Data’s GPU-accelerated analytics engine, alongside intelligent edge deployments like CLIKA and healthtech breakthroughs including Earli’s synthetic biopsy approach, reflecting focus areas in data and AI, edge computing, and life sciences innovation.

Through Project Spotlight and complementary initiatives such as the Black Founders Development Program, the team co-innovates at Accenture innovation hubs, gives startups access to domain experts and enterprise customers, and supports portfolio companies including CLIKA, YearOne, Voltron Data, and GoUpscale as they scale with the parent’s global platform.",Accenture,Ireland,,,Accenture,"Mobility & Logistics, Digital Climate Infrastructure"
Access Technology Ventures,https://www.accessindustries.com,"Access Technology Ventures is the venture and growth technology investment arm of Access Industries, positioning itself as a flexible, long-term partner to industry-leading technology companies and building foundational businesses that reach millions of consumers and enterprises while deploying scaled capital across private and public markets.

Access Technology Ventures concentrates on technology companies across consumer and enterprise ecosystems, with portfolio examples including Alibaba, Chime, DigitalOcean, Opendoor, Snap, Spotify, Square, and Zhihu, and its founders emphasize the firm's strategic insights and flexible, long-term capital as differentiators.",Access Industries,United States,,,Access Industries,
Achmea Innovation Fund,https://www.achmeainnovationfund.nl,"Achmea Innovation Fund is the corporate venture arm of Dutch insurer Achmea, launched to back promising tech-driven scale-ups in the group’s strategic domains so they can advance a healthier, safer and future-proof society while building long-term partnerships that draw on Achmea’s distribution strength, market position and expertise.

The fund invests directly in startups working on sustainable living together, carefree living and working, smart mobility, health closer to home, income for now and later, and climate action, aligning venture activity with Achmea’s cooperative mission.

Portfolio companies gain growth capital plus access to Achmea’s customer base, brands, international network and specialist know-how, enabling pilots and commercial scaling alongside the parent; recent investments include micromobility insurer Laka and regenerative agriculture platform Klim.",Achmea,Netherlands,,,Achmea,"Mobility & Logistics, Digital Climate Infrastructure"
ADM Ventures,https://www.adm.com/products-services/admventures,"ADM Ventures is Archer Daniels Midland Company’s corporate venture capital arm, investing alongside ADM’s global businesses to advance next-generation food and agriculture technologies that reinforce the parent’s strategic objectives.

The team focuses on startups commercializing disruptive solutions in human nutrition, microbiome innovations, animal nutrition, bio-solutions, and agriculture technology, typically backing proprietary, scalable platforms at Series A or later and preferring board engagement to help guide growth.

It accelerates portfolio commercialization by partnering as customer, distributor, vendor or collaborator while opening access to ADM’s worldwide ingredients, flavors, assets, talent and customer networks. ADM has spotlighted partnerships with Remedy Health, Air Protein and Geltor as examples of ventures pursuing personalized nutrition and alternative protein breakthroughs with its support.",ADM,United States,,,ADM,"Mobility & Logistics, Food, Ag & Bioeconomy"
Adobe Ventures,https://www.adobe.com/ventures.html,"Adobe Ventures, operated by Adobe, invests in founders to accelerate the shared vision of changing the world through personalized digital experiences and innovative creative tools.

The fund targets early-to-midstage software at the forefront of creativity, digital experiences, and document productivity, partnering closely with teams by providing support and expert guidance that help them evolve and make an impact via Adobe’s platforms.

Current portfolio highlights such as Captions, LucidLink, Vidmob, and World Labs reflect its emphasis on AI-enabled content creation, collaborative media workflows, marketing intelligence, and creative learning solutions that complement Adobe’s ecosystem.",Adobe,United States,,,Adobe,
Construct Venture,https://www.constructventure.no,"Construct Venture is the corporate venture platform formed by AF Gruppen and OBOS to back early-stage and growth startups modernising the architecture, engineering and construction value chain, with a mandate to scale property- and construction-technology innovations that can reshape the built environment.

The fund concentrates on ConTech and PropTech themes spanning digital planning tools, automation on job sites, and data-driven building operations, seeking solutions that can disrupt traditional workflows across the AEC sector. It invests smart capital alongside the founders’ deep industry network, combining AF and OBOS domain expertise with well-functioning systems and opening their projects for large-scale pilots so portfolio companies can validate and refine technology in real environments.

Illustrative investments include Spacemaker’s AI site-optimisation software, Scaled Robotics’ construction automation platform, Reduzer’s emissions-reporting tools for contractors, and Parqio’s smart garage management system, each supported through Construct Venture’s collaboration with AF Gruppen and OBOS.",AF Gruppen,Norway,,AF Gruppen ASA,AF Gruppen ASA,Mobility & Logistics
Aflac Ventures,https://www.aflacventures.com/,"Aflac Ventures is the corporate venture arm of Aflac Incorporated, set up to back companies that reinforce Aflac’s U.S. and Japan businesses by improving digital customer experiences, efficiency, and new market reach in supplemental insurance. It directs capital toward growth-stage innovations in insurance, healthcare, finance, analytics and adjacent services that align with Aflac’s core protection offerings and customer journey.

Beyond funding, the team ties startups into Aflac U.S. and Aflac Japan through commercial pilots, and runs the Aflac Ventures Lab with Plug and Play to give founders direct access to product experts for co-development. Illustrative holdings include Sharecare’s digital health platform and Empowered’s benefits administration technology, both leveraged to enhance policyholder engagement and distribution.",Aflac,United States,1.0,Aflac Incorporated,Aflac Incorporated,Mobility & Logistics
Air Liquide Venture Capital (ALIAD),https://www.airliquide.com/group/aliad,"Air Liquide established its strategic venture arm ALIAD to partner with startups that reinforce the Group’s future positions by giving access to innovative ecosystems in climate, healthcare, and industrial markets, keeping a focus on solutions that address environmental, industrial, and societal challenges. ALIAD concentrates on climate tech such as decarbonization, hydrogen, energy storage and carbon capture, on healthtech innovations that improve patient care, and on industrial technologies that enhance efficiency, safety, and performance.

Beyond capital, ALIAD positions itself as an industrial partner, linking startups to Air Liquide’s campuses and offering technological, commercial, and industrialization support to accelerate market access. Illustrative portfolio collaborations include Waga Energy’s landfill biomethane projects, Inopsys’s modular purification systems for chemical and pharmaceutical streams, and MySphera’s real-time hospital workflow platform, demonstrating how the fund aligns ventures with Air Liquide’s core businesses.",Air Liquide,France,,,Air Liquide,"Industrial Decarbonization, Mobility & Logistics, Carbon Management & Markets"
